time,id,source,dest
9,p125,44,46
10,p178,4,2
11,p164,16,21
17,p41,50,58
22,p173,23,45
25,p92,42,7
27,p61,2,35
27,p144,5,40
33,p182,8,42
34,p46,6,46
38,p38,10,1
38,p169,44,5
39,p0,19,45
42,p32,31,27
43,p133,6,58
44,p77,6,18
49,p108,12,20
51,p26,57,38
52,p55,43,15
53,p52,12,35
59,p8,55,7
60,p138,1,41
62,p16,54,11
62,p21,7,55
72,p29,36,43
75,p80,31,46
78,p18,34,40
78,p127,19,7
79,p159,30,7
82,p25,50,21
83,p185,23,3
84,p132,17,22
85,p33,23,9
85,p139,15,58
88,p34,56,43
88,p166,9,1
89,p129,44,35
90,p93,58,50
90,p177,2,40
98,p2,30,39
98,p10,11,33
103,p102,51,25
105,p19,55,53
105,p117,54,28
105,p171,36,60
106,p140,60,13
108,p39,58,51
108,p115,54,48
111,p68,45,15
111,p191,29,28
112,p189,32,23
113,p143,7,20
114,p64,38,23
115,p158,5,29
116,p30,20,32
116,p168,56,28
117,p100,52,21
125,p137,27,30
125,p160,2,41
127,p9,25,10
127,p40,9,48
127,p69,37,40
133,p109,51,10
147,p1,30,24
153,p84,19,37
157,p35,37,52
157,p91,39,48
158,p67,16,1
172,p148,41,46
173,p96,32,30
182,p53,51,53
189,p135,2,41
190,p28,44,39
190,p131,23,1
191,p72,25,8
192,p54,46,48
192,p57,50,14
194,p112,17,58
207,p170,48,43
208,p153,29,28
210,p128,29,45
211,p47,55,60
212,p83,31,41
215,p104,16,51
216,p141,16,3
218,p110,9,12
221,p186,35,8
227,p193,43,39
228,p82,1,47
229,p146,17,18
230,p59,4,30
236,p94,13,40
248,p76,13,16
257,p161,45,42
260,p119,7,10
269,p65,15,9
272,p194,17,32
273,p99,32,9
274,p27,24,47
277,p184,49,21
278,p13,37,12
279,p79,54,42
289,p175,43,28
300,p107,34,41
303,p17,18,57
307,p56,15,23
308,p106,28,16
314,p36,7,45
315,p118,33,49
328,p149,32,52
328,p196,19,7
335,p51,26,23
336,p73,21,17
339,p23,22,34
345,p42,8,46
347,p81,10,21
350,p98,30,29
364,p136,14,21
364,p181,29,20
366,p101,22,24
370,p31,46,28
374,p165,7,26
381,p5,40,55
385,p14,5,4
392,p58,53,25
394,p45,6,46
396,p12,39,33
402,p121,4,25
403,p163,15,32
406,p142,3,58
407,p147,39,12
407,p183,20,51
414,p48,13,44
416,p151,43,22
416,p195,7,21
425,p70,13,25
426,p187,22,24
429,p97,20,5
435,p71,7,1
436,p130,31,10
437,p179,18,17
440,p172,52,33
443,p192,31,12
444,p7,26,12
444,p89,34,53
448,p198,49,36
449,p24,11,9
450,p156,3,58
454,p85,20,47
458,p103,21,20
459,p66,49,26
467,p44,54,22
468,p22,51,42
470,p123,36,31
470,p152,24,38
474,p105,12,24
490,p78,45,60
492,p86,29,20
493,p199,47,17
496,p154,53,2
498,p126,31,53
507,p11,9,50
510,p3,39,2
511,p113,25,59
513,p60,4,7
513,p145,43,55
514,p162,53,34
515,p63,56,33
515,p190,12,58
519,p111,46,59
520,p197,33,46
523,p62,57,59
526,p4,28,37
527,p116,24,9
528,p95,4,17
535,p155,53,10
535,p167,39,5
543,p114,12,17
545,p43,32,17
548,p37,28,29
551,p74,9,35
551,p180,20,2
555,p124,42,7
556,p176,2,29
560,p6,57,49
561,p87,32,55
562,p88,40,28
569,p134,54,21
583,p188,29,19
584,p120,45,34
587,p150,27,41
588,p90,5,14
589,p49,26,17
589,p75,10,45
589,p122,29,41
592,p157,12,50
592,p174,21,24
593,p15,4,12
598,p20,42,60
600,p50,27,59
