time,id,source,dest
0,p41,1,48
0,p48,57,54
0,p62,1,34
0,p79,1,52
0,p102,1,21
0,p110,1,42
0,p183,1,50
0,p192,1,10
1,p85,1,60
1,p116,1,52
1,p135,1,24
1,p158,40,55
1,p198,15,42
2,p10,1,56
2,p13,1,42
2,p33,1,9
2,p87,1,40
2,p88,26,8
2,p97,1,18
2,p142,1,23
2,p197,1,36
2,p199,3,49
3,p40,1,31
3,p67,1,29
3,p71,1,36
3,p113,45,58
4,p29,1,49
4,p34,1,45
4,p98,1,6
4,p104,1,8
4,p114,1,25
4,p190,1,3
5,p8,1,19
5,p9,22,7
5,p22,1,42
5,p77,1,15
5,p126,1,26
5,p171,29,17
6,p5,1,36
6,p45,1,12
6,p56,1,44
7,p4,1,37
7,p32,33,32
7,p83,1,49
7,p118,1,8
7,p157,1,3
7,p164,1,46
7,p177,1,47
7,p178,1,23
8,p1,1,8
8,p63,1,15
8,p108,4,6
8,p174,1,47
9,p26,1,38
9,p42,1,13
9,p187,1,26
10,p44,1,40
10,p146,1,28
10,p150,1,39
10,p175,1,22
11,p93,1,10
12,p11,1,4
12,p59,1,16
12,p188,1,27
12,p195,18,49
13,p19,1,46
13,p119,1,57
14,p161,1,11
14,p184,54,27
14,p194,1,22
15,p68,4,44
15,p70,1,57
15,p120,1,11
15,p123,1,23
15,p149,1,21
16,p3,1,15
16,p6,1,19
16,p31,1,25
16,p35,1,26
16,p170,29,58
17,p72,1,19
17,p100,1,21
17,p139,1,53
17,p152,1,32
18,p58,1,6
18,p73,5,29
19,p51,1,50
19,p53,1,18
19,p66,1,8
20,p28,42,30
21,p43,1,42
21,p165,1,17
22,p52,1,44
22,p54,1,15
23,p46,1,35
23,p64,1,58
23,p84,1,5
23,p133,8,57
23,p140,1,49
23,p179,1,15
23,p185,1,53
24,p30,1,39
24,p112,1,2
25,p65,1,52
25,p138,1,47
26,p60,1,47
26,p115,1,10
26,p181,1,56
27,p36,1,18
27,p90,1,28
27,p106,1,15
27,p151,1,30
27,p168,58,29
27,p186,1,16
28,p14,37,13
28,p101,42,34
28,p169,1,34
29,p61,1,59
29,p96,1,8
29,p143,1,9
29,p160,1,46
30,p0,1,19
30,p18,1,25
30,p21,1,17
30,p109,1,4
30,p132,1,55
30,p155,1,54
31,p57,1,35
31,p69,1,5
31,p75,1,2
32,p91,1,22
32,p130,1,19
32,p145,1,46
32,p147,1,49
32,p154,1,44
32,p162,1,50
33,p2,6,38
33,p94,1,22
34,p23,1,22
34,p107,33,32
36,p15,1,16
38,p38,1,36
38,p82,1,20
38,p144,1,21
38,p189,1,60
39,p12,1,26
39,p136,1,40
40,p105,1,20
40,p141,1,29
41,p39,1,23
41,p172,1,19
43,p159,1,58
43,p173,1,42
44,p16,55,15
45,p124,1,44
46,p80,1,46
47,p153,48,11
48,p167,1,37
49,p7,1,53
49,p49,1,17
49,p74,7,4
50,p128,1,21
51,p25,1,27
51,p129,15,2
53,p180,1,51
55,p24,1,16
57,p86,1,34
59,p78,11,25
59,p125,1,19
59,p131,18,23
59,p163,50,28
60,p17,1,31
60,p193,1,18
61,p127,15,13
62,p27,1,43
63,p50,6,47
63,p99,1,12
63,p182,1,32
67,p176,1,11
69,p148,1,21
71,p191,1,44
74,p166,1,10
75,p47,1,33
78,p121,1,12
79,p55,1,46
79,p95,1,30
80,p103,1,58
81,p92,1,47
82,p20,1,40
85,p89,1,39
90,p196,1,55
91,p156,1,21
94,p81,36,43
104,p76,55,16
105,p134,1,18
106,p37,1,44
107,p117,1,24
112,p122,1,58
117,p111,1,30
124,p137,1,59
